solution_template_id,knowledge_point_id,template_text,template_text_zh-Hans,,,
56,1,"<div class=""ex-text"" align=""center"">
[[arg1]] [[arg2]] + [[arg3]] [[arg4]]
</div>

Let us see what **[[arg1]] [[arg2]]** and **[[arg3]] [[arg4]]** mean.

-  [[arg1]] [[arg2]] = [[arg1 * value_dict[arg2]]]
-  [[arg3]] [[arg4]] = [[arg3 * value_dict[arg4]]]
<div class=""ex-text"" align=""center"">
[[arg1]] [[arg2]] + [[arg3]] [[arg4]] = [[arg1 * value_dict[arg2]]] + [[arg3 * value_dict[arg4]]] = [[arg1 * value_dict[arg2] + arg3 * value_dict[arg4]]]
</div>","<div class=""ex-text"" align=""center"">
[[arg1]] [[arg2]] + [[arg3]] [[arg4]]
</div>

让我们看看 **[[arg1]] [[arg2]]** 和 **[[arg3]] [[arg4]]** 的含义。

-  [[arg1]] [[arg2]] = [[arg1 * value_dict[arg2]]]
-  [[arg3]] [[arg4]] = [[arg3 * value_dict[arg4]]]
<div class=""ex-text"" align=""center"">
[[arg1]] [[arg2]] + [[arg3]] [[arg4]] = [[arg1 * value_dict[arg2]]] + [[arg3 * value_dict[arg4]]] = [[arg1 * value_dict[arg2] + arg3 * value_dict[arg4]]]
</div>",,,
52,2,"<div class=""ex-text"" align=""center"">
[[arg1]] [[arg2]] - [[arg3]] [[arg4]]
</div>

Let us see what **[[arg1]] [[arg2]]** and **[[arg3]] [[arg4]]** mean.

-  [[arg1]] [[arg2]] = [[arg1 * value_dict[arg2]]]
-  [[arg3]] [[arg4]] = [[arg3 * value_dict[arg4]]]
<div class=""ex-text"" align=""center"">
[[arg1]] [[arg2]] - [[arg3]] [[arg4]] = [[arg1 * value_dict[arg2]]] - [[arg3 * value_dict[arg4]]] = [[arg1 * value_dict[arg2] - arg3 * value_dict[arg4]]]
</div>","<div class=""ex-text"" align=""center"">
[[arg1]] [[arg2]] - [[arg3]] [[arg4]]
</div>

让我们看看 **[[arg1]] [[arg2]]** 和 **[[arg3]] [[arg4]]** 的含义。

-  [[arg1]] [[arg2]] = [[arg1 * value_dict[arg2]]]
-  [[arg3]] [[arg4]] = [[arg3 * value_dict[arg4]]]
<div class=""ex-text"" align=""center"">
[[arg1]] [[arg2]] - [[arg3]] [[arg4]] = [[arg1 * value_dict[arg2]]] - [[arg3 * value_dict[arg4]]] = [[arg1 * value_dict[arg2] - arg3 * value_dict[arg4]]]
</div>",,,
51,3,"<div class=""ex-text"" align=""center"">

$[[arg1]] + [[arg2]]$
</div>

**Step 1:** Let's start by writing the number $[[arg1]]$ and below it write the number $[[arg2]]$. Be sure to line up $[[arg1 % 10]]$ and $[[arg2 % 10]]$ together. Always start adding from the right side also known as ones place.
$$

\begin{array}{l r}
& {\color{#21ABCD}tens}\:\:\:{\color{#8DB600}ones}\\
&{\color{#21ABCD}[[check_zero_at_tens(arg1 // 10)]]}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}[[arg1 % 10]]}\:\:\:\\
+&{\color{#21ABCD}[[check_zero_at_tens(arg2 // 10)]]}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}[[arg2 % 10]]}\:\:\:\\
\hline
\end{array}
$$

**Step 2:** Add the numbers in ones place first. $[[arg1 % 10]]  + [[arg2 % 10]]  =[[arg1 % 10 + arg2 % 10]]$ and write it in the one's place.
$$
\begin{array}{l r}
&[[check_zero_at_tens(arg1 // 10)]]{\color{Salmon}[[arg1 % 10]]}\\
+&[[check_zero_at_tens(arg2 // 10)]]{\color{Salmon}[[arg2 % 10]]}\\
\hline
&{\color{Salmon}[[arg1 % 10  + arg2 % 10]]}\\
\end{array}
$$

**Step 3:** Then add the numbers in tens place. [[arg1 // 10]] + [[arg2 // 10]] = [[arg1 // 10 + arg2 // 10]]. [[get_tens_statement(arg1 // 10 + arg2 // 10)]]
$$
\begin{array}{l r}
&{\color{Salmon} [[arg1 // 10]]} [[arg1 % 10]]\\
+&{\color{Salmon}[[arg2 // 10]]}[[arg2 % 10]]\\
\hline
& {\color{Salmon}[[check_zero_at_tens(arg1 // 10 + arg2 // 10)]]}[[arg1 % 10 + arg2 % 10]]\\
\end{array}
$$

So the answer is [[arg1 + arg2]].","<div class=""ex-text"" align=""center"">

$[[arg1]] + [[arg2]]$
</div>

**第一步：** 先写下数字 $[[arg1]]$，然后在下面写下数字 $[[arg2]]$。确保 $[[arg1 % 10]]$ 和 $[[arg2 % 10]]$ 对齐。始终从右侧，也就是个位开始加法。
$$

\begin{array}{l r}
& {\color{#21ABCD}十位}\:\:\:{\color{#8DB600}个位}\\
&{\color{#21ABCD}[[check_zero_at_tens(arg1 // 10)]]}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}[[arg1 % 10]]}\:\:\:\\
+&{\color{#21ABCD}[[check_zero_at_tens(arg2 // 10)]]}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}[[arg2 % 10]]}\:\:\:\\
\hline
\end{array}
$$

**第二步：** 先加个位上的数字。 $[[arg1 % 10]]  + [[arg2 % 10]]  =[[arg1 % 10 + arg2 % 10]]$ 并将其写在个位上。
$$
\begin{array}{l r}
&[[check_zero_at_tens(arg1 // 10)]]{\color{Salmon}[[arg1 % 10]]}\\
+&[[check_zero_at_tens(arg2 // 10)]]{\color{Salmon}[[arg2 % 10]]}\\
\hline
&{\color{Salmon}[[arg1 % 10  + arg2 % 10]]}\\
\end{array}
$$

**第三步：** 然后加十位上的数字。 [[arg1 // 10]] + [[arg2 // 10]] = [[arg1 // 10 + arg2 // 10]]。 [[get_tens_statement(arg1 // 10 + arg2 // 10)]]
$$
\begin{array}{l r}
&{\color{Salmon} [[arg1 // 10]]} [[arg1 % 10]]\\
+&{\color{Salmon}[[arg2 // 10]]}[[arg2 % 10]]\\
\hline
& {\color{Salmon}[[check_zero_at_tens(arg1 // 10 + arg2 // 10)]]}[[arg1 % 10 + arg2 % 10]]\\
\end{array}
$$

所以答案是 [[arg1 + arg2]]。",,,
41,4,"<div class=""ex-text"" align=""center"">

$[[arg1]] - [[arg2]]$
</div>

**Step 1:** Let's start by writing the number $[[arg1]]$ and below it write the number $[[arg2]]$. Be sure to line up $[[arg1 % 10]]$ and $[[arg2 % 10]]$ together. Always start subtracting from the right side or from the ones place.

$$
\begin{array}{l r}
& {\color{#21ABCD}tens}\:\:\:{\color{#8DB600}ones}\\
&{\color{#21ABCD}[[check_zero_at_tens(arg1 // 10)]]}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}[[arg1 % 10]]}\:\:\:\\
-&{\color{#21ABCD}[[check_zero_at_tens(arg2 // 10)]]}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}[[arg2 % 10]]}\:\:\:\\
\hline
\end{array}
$$

**Step 2:** Then calculate the numbers in the ones place: $[[arg1 % 10]] - [[arg2 % 10]] = [[arg1 % 10 - arg2 % 10]]$. Write down the $[[arg1 % 10 - arg2 % 10]]$ in the ones place.
$$
\begin{array}{l r}
&[[check_zero_at_tens(arg1 // 10)]]{\color{Salmon}[[arg1 % 10]]}\\
-&[[check_zero_at_tens(arg2 // 10)]]{\color{Salmon}[[arg2 % 10]]}\\
\hline
&{\color{Salmon}[[arg1 % 10  - arg2 % 10]]}\\
\end{array}
$$

**Step 3:** Next, calculate the tens digit, $[[arg1 // 10]] - [[arg2 // 10]] = [[arg1 // 10 - arg2 // 10]]$. [[get_tens_statement(arg1 // 10 - arg2 // 10)]]
$$
\begin{array}{l r}
&{\color{Salmon}[[arg1 // 10]]}[[arg1 % 10]]\\
-&{\color{Salmon}[[arg2 // 10]]}[[arg2 % 10]]\\
\hline
& {\color{Salmon}[[check_zero_at_tens(arg1 // 10 - arg2 // 10)]]}[[arg1 % 10 - arg2 % 10]]\\
\end{array}
$$

So the answer is $[[arg1 - arg2]]$.","<div class=""ex-text"" align=""center"">

$[[arg1]] - [[arg2]]$
</div>

**步骤 1：** 首先写下数字 $[[arg1]]$，并在下面写下数字 $[[arg2]]$。确保将 $[[arg1 % 10]]$ 和 $[[arg2 % 10]]$ 对齐。总是从右侧或从个位开始减法。

$$
\begin{array}{l r}
& {\color{#21ABCD}十位}\:\:\:{\color{#8DB600}个位}\\
&{\color{#21ABCD}[[check_zero_at_tens(arg1 // 10)]]}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}[[arg1 % 10]]}\:\:\:\\
-&{\color{#21ABCD}[[check_zero_at_tens(arg2 // 10)]]}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}[[arg2 % 10]]}\:\:\:\\
\hline
\end{array}
$$

**步骤 2：** 然后计算个位上的数字：$[[arg1 % 10]] - [[arg2 % 10]] = [[arg1 % 10 - arg2 % 10]]$。将 $[[arg1 % 10 - arg2 % 10]]$ 写在个位上。
$$
\begin{array}{l r}
&[[check_zero_at_tens(arg1 // 10)]]{\color{Salmon}[[arg1 % 10]]}\\
-&[[check_zero_at_tens(arg2 // 10)]]{\color{Salmon}[[arg2 % 10]]}\\
\hline
&{\color{Salmon}[[arg1 % 10  - arg2 % 10]]}\\
\end{array}
$$

**步骤 3：** 接下来，计算十位数字，$[[arg1 // 10]] - [[arg2 // 10]] = [[arg1 // 10 - arg2 // 10]]$。[[get_tens_statement(arg1 // 10 - arg2 // 10)]]
$$
\begin{array}{l r}
&{\color{Salmon}[[arg1 // 10]]}[[arg1 % 10]]\\
-&{\color{Salmon}[[arg2 // 10]]}[[arg2 % 10]]\\
\hline
& {\color{Salmon}[[check_zero_at_tens(arg1 // 10 - arg2 // 10)]]}[[arg1 % 10 - arg2 % 10]]\\
\end{array}
$$

所以答案是 $[[arg1 - arg2]]$。",,,
40,5,"<div class=""ex-text"" align=""center"">

What is/are the missing numbers?

[[input_format_arr]]

</div>

**Step 1:** Find the pattern! We can look at the numbers we have and see if there is a pattern we can use to find the missing numbers. In this case, we can see that the numbers are going up by [[diff]] each time, so the pattern is ${\color{#8DB600}[[diff]]}$.

[[steps]]
[[missing_numbers]] The completed sequence is

$$
[[sequence]]
$$","<div class=""ex-text"" align=""center"">

缺失的数字是什么？

[[input_format_arr]]

</div>

**步骤 1：** 找出规律！我们可以看看现有的数字，看看是否有一个模式可以用来找到缺失的数字。在这种情况下，我们可以看到数字每次增加 [[diff]]，所以模式是 ${\color{#8DB600}[[diff]]}$。

[[steps]]
[[missing_numbers]] 完整的序列是

$$
[[sequence]]
$$",,,
46,6,"<div class=""ex-text"" align=""center"">

$[[arg1]]$ ? $[[arg2]]$

</div>

:::number-line compare [[arg1]],[[arg2]]:::

[[less_greater_equal_statement(arg1,arg2) ]]
$$
[[arg1]] {\color{Salmon}\:[[get_sign(arg1,arg2)]]\:} [[arg2]]
$$","<div class=""ex-text"" align=""center"">

$[[arg1]]$ ? $[[arg2]]$

</div>

:::number-line compare [[arg1]],[[arg2]]:::

[[less_greater_equal_statement(arg1,arg2)]]
$$
[[arg1]] {\color{Salmon}\:[[get_sign(arg1,arg2)]]\:} [[arg2]]
$$",,,
47,7,"<div class=""ex-text"" align=""center"">

$[[arg1]]$ $=$ __tens $+$ __ones

</div>

:::3d-cubes [[arg1//10]] + [[arg1%10]] :::

**Step 1:** The ""tens"" part tells us how many groups of ten there are in [[arg1]]. In this case, there is only [[arg1//10]] group of ten.
<div align=""center"">

$[[arg1//10]]$ tens = $[[arg1//10 * 10]]$
</div>

**Step 2:** The ""ones"" part tells us how many ones there are in [[arg1]]. In this case, there are [[arg1 % 10]] ones.
<div align=""center"">

$[[arg1 % 10]]$ ones = $[[arg1 % 10]]$
</div>

**Step 3:** When we add the number of tens and the number of ones together, we get the original number, which is [[arg1]].

So, **[[arg1]] = __tens + __ones** just helps us understand how the number [[arg1]] is made up of two smaller parts, and how those parts add up to give us [[arg1]].[[statement_of_one_tens(arg1)]]
<div align=""center"">

$[[arg1]]$ $=$ ${\color{Salmon}[[arg1//10]]}$ tens [[result_statement(arg1)]]
</div>","<div class=""ex-text"" align=""center"">

$[[arg1]]$ $=$ __十位$+$ __个位

</div>

:::3d-cubes [[arg1//10]] + [[arg1%10]] :::

**步骤 1:** “十”部分告诉我们[[arg1]]中有多少个十位。在这种情况下，只有[[arg1//10]]个十位。
<div align=""center"">

$[[arg1//10]]$ 十 = $[[arg1//10 * 10]]$
</div>

**步骤 2:** “个位”部分告诉我们[[arg1]]中有多少个个位。在这种情况下，有[[arg1 % 10]]个个位。
<div align=""center"">

$[[arg1 % 10]]$ 个位 = $[[arg1 % 10]]$
</div>

**步骤 3:** 当我们将十位的数量和个位的数量相加时，我们得到原来的数字，即[[arg1]]。

所以，**[[arg1]] = __十位 + __个位** 只是帮助我们理解数字[[arg1]]是由两个较小的部分构成的，以及这两个部分是如何加起来得到[[arg1]]的。[[statement_of_one_tens(arg1)]]
<div align=""center"">

$[[arg1]]$ $=$ ${\color{Salmon}[[arg1//10]]}$ 十 [[result_statement(arg1)]]
</div>",,,
13,9,"<div class=""ex-text"" align=""center"">

$[[arg1]] + [[arg2]]$
</div>

**Step 1:** Let us sort the numbers by their place value. [[sub_statment1(arg1)]], and [[sub_statment1(arg2)]].
$$
\begin{array}{l r}
& {\color{#21ABCD}tens}\:\:\:{\color{#8DB600}ones}\\
&{\color{#21ABCD}[[check_zero_at_tens(arg1//10)]]}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}[[arg1%10]]}\:\:\:\\
+&{\color{#21ABCD}[[check_zero_at_tens(arg2//10)]]}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}[[arg2%10]]}\:\:\:\\
\hline
\end{array}
$$

**Step 2:** Add the numbers in ones column below. $[[arg1%10]]+[[arg2%10]]$ which comes to [[arg1%10 + arg2 %10]]. Since [[arg1%10 + arg2 %10]] has exceeded $9$ we will regroup it. In other words, $[[arg1%10 + arg2 %10]]$ is a two-digit number so we will regroup this sum into tens and ones. This means we will carry over the tens digit of the sum to the preceding column and write the ones digit in that particular column. Here, we will write $[[(arg1%10 + arg2 %10) % 10]]$ in ones column, and carry over $1$ to the tens column.
$$
\begin{array}{l r}
& \tiny1\:\:\:\:\\[-3pt]
&[[check_zero_at_tens(arg1//10)]]{\color{Salmon}[[arg1%10]]}\\
+&[[check_zero_at_tens(arg2//10)]]{\color{Salmon}[[arg2%10]]}\\
\hline
& [[(arg1 % 10 + arg2 % 10) % 10]]\\
\end{array}
$$

**Step 3:** Go ahead and add the numbers in the tens column, $[[check_zero_at_tens(arg1//10)]][[check_sign(arg1//10)]][[check_zero_at_tens(arg2//10)]][[check_sign(arg2//10)]]1$ which comes to $[[arg1//10 + arg2//10 + 1]]$. So the sum of this column will be $[[arg1//10 + arg2//10 + 1]]$. Therefore, the sum of $[[arg1]]+[[arg2]] = [[arg1+arg2]]$.
$$
\begin{array}{l r}
& \tiny{\color{Salmon}1}\:\:\:\:\\[-3pt]
&{\color{Salmon}[[check_zero_at_tens(arg1//10)]]}[[arg1%10]]\\
+&{\color{Salmon}[[check_zero_at_tens(arg2//10)]]}[[arg2%10]]\\
\hline
& [[arg1+arg2]]\\
\end{array}
$$","<div class=""ex-text"" align=""center"">

$[[arg1]] + [[arg2]]$
</div>

**步骤 1：** 让我们按数字的位值进行排序。[[sub_statment1(arg1)]], 和 [[sub_statment1(arg2)]].
$$
\begin{array}{l r}
& {\color{#21ABCD}十位}\:\:\:{\color{#8DB600}个位}\\
&{\color{#21ABCD}[[check_zero_at_tens(arg1//10)]]}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}[[arg1%10]]}\:\:\:\\
+&{\color{#21ABCD}[[check_zero_at_tens(arg2//10)]]}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}[[arg2%10]]}\:\:\:\\
\hline
\end{array}
$$

**步骤 2：**  先将个位上的数字相加： $[[arg1%10]]+[[arg2%10]]$，结果为 [[arg1%10 + arg2 %10]]。由于 [[arg1%10 + arg2 %10]] 超过了 $9$，需要进行进位。换句话说，$[[arg1%10 + arg2 %10]]$ 是一个两位数，因此我们将其重新拆分为十位和个位。这意味着我们将十位数进位到前一列，并把个位数保留在当前列中。在此例中，个位数为$[[(arg1%10 + arg2 %10) % 10]]$ 将其写在个位列，进位 $1$ 到十位列。                                            
$$
\begin{array}{l r}
& \tiny1\:\:\:\:\\[-3pt]
&[[check_zero_at_tens(arg1//10)]]{\color{Salmon}[[arg1%10]]}\\
+&[[check_zero_at_tens(arg2//10)]]{\color{Salmon}[[arg2%10]]}\\
\hline
& [[(arg1 % 10 + arg2 % 10) % 10]]\\
\end{array}
$$

**步骤 3：** 继续将十位数上的数字相加，$[[check_zero_at_tens(arg1//10)]][[check_sign(arg1//10)]][[check_zero_at_tens(arg2//10)]][[check_sign(arg2//10)]]1$ 的结果是 $[[arg1//10 + arg2//10 + 1]]$。因此，这一列的总和将是 $[[arg1//10 + arg2//10 + 1]]$。最终，$[[arg1]]+[[arg2]] = [[arg1+arg2]]$ 的和为：
$$
\begin{array}{l r}
& \tiny{\color{Salmon}1}\:\:\:\:\\[-3pt]
&{\color{Salmon}[[check_zero_at_tens(arg1//10)]]}[[arg1%10]]\\
+&{\color{Salmon}[[check_zero_at_tens(arg2//10)]]}[[arg2%10]]\\
\hline
& [[arg1+arg2]]\\
\end{array}
$$",,,
25,10,"<div class=""ex-text"" align=""center"">

$[[arg1]] - [[arg2]]$
</div>

**Step 1:** Let us compare two numbers, $[[arg1]]$ and $[[arg2]]$. [[sub_statment1(arg1)]], and [[sub_statment1(arg2)]].
$$
\begin{array}{l r}
& {\color{#21ABCD}tens}\:\:\:{\color{#8DB600}ones}\\
&{\color{#21ABCD}[[arg1//10]]}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}[[arg1%10]]}\:\:\:\\
-&{\color{#21ABCD}[[check_zero_at_tens(arg2//10)]]}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}[[arg2%10]]}\:\:\:\\
\hline
\end{array}
$$

**Step 2:**  Subtraction always begins with the ones place. In this case, we can see that $[[arg1%10]]$ is smaller than $[[arg2%10]]$. So, we will borrow $1$ from the tens column, which will make it $1[[arg1%10]]$. Now, $1[[arg1%10]] - [[arg2%10]] = [[10 + arg1%10 - arg2%10]]$.
$$
\begin{array}{l r}
& \tiny[[arg1//10 - 1]]\:{\color{Salmon}1[[arg1%10]]}\\[-3pt]
&\cancel[[arg1//10]]\cancel[[arg1%10]]\\
-&[[check_zero_at_tens(arg2//10)]]{\color{Salmon}[[arg2%10]]}\\
\hline
& {\color{Salmon}[[10 + arg1%10 - arg2%10]]}\\
\end{array}
$$

**Step 3:** After giving $1$ to the ones column in **Step 2**, the $[[arg1 // 10]]$ in the tens column becomes $[[arg1 // 10 - 1]]$. Now, let us subtract the digits in the tens place $[[arg1 // 10 - 1]] - [[arg2//10]]$. If we subtract $[[arg2//10]]$ from $[[arg1 // 10 - 1]]$. This will make it $[[arg1 // 10 - 1 - arg2//10]]$. So, $[[arg1]]-[[arg2]]=[[arg1-arg2]]$

$$
\begin{array}{l r}
& \tiny{\color{Salmon}[[arg1//10 - 1]]}\:1[[arg1%10]]\\[-3pt]
&\cancel[[arg1//10]]\cancel[[arg1%10]]\\
-&{\color{Salmon}[[check_zero_at_tens(arg2//10)]]}[[arg2%10]]\\
\hline
& {\color{Salmon}[[check_zero_at_tens(arg1//10 - 1 - arg2//10)]]}[[10 + arg1%10 - arg2%10]]\\
\end{array}
$$","<div class=""ex-text"" align=""center"">

$[[arg1]] - [[arg2]]$
</div>

**步骤 1:** 让我们比较两个数字，$[[arg1]]$ 和 $[[arg2]]$。 [[sub_statment1(arg1)]], 和 [[sub_statment1(arg2)]]。
$$
\begin{array}{l r}
& {\color{#21ABCD}十位}\:\:\:{\color{#8DB600}个位}\\
&{\color{#21ABCD}[[arg1//10]]}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}[[arg1%10]]}\:\:\:\\
-&{\color{#21ABCD}[[check_zero_at_tens(arg2//10)]]}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}[[arg2%10]]}\:\:\:\\
\hline
\end{array}
$$

**步骤 2:**  减法总是从个位开始。在这个例子中，我们可以看到 $[[arg1%10]]$ 小于 $[[arg2%10]]$。所以，我们将从十位借 $1$，这将使它变成 $1[[arg1%10]]$。现在，$1[[arg1%10]] - [[arg2%10]] = [[10 + arg1%10 - arg2%10]]$。
$$
\begin{array}{l r}
& \tiny[[arg1//10 - 1]]\:{\color{Salmon}1[[arg1%10]]}\\[-3pt]
&\cancel[[arg1//10]]\cancel[[arg1%10]]\\
-&[[check_zero_at_tens(arg2//10)]]{\color{Salmon}[[arg2%10]]}\\
\hline
& {\color{Salmon}[[10 + arg1%10 - arg2%10]]}\\
\end{array}
$$

**步骤 3:** 在 **步骤 2** 中将 $1$ 给了个位后，十位的 $[[arg1 // 10]]$ 变成了 $[[arg1 // 10 - 1]]$。现在，让我们从十位数字中减去 $[[arg2//10]]$。如果我们从 $[[arg1 // 10 - 1]]$ 减去 $[[arg2//10]]$，这将使其变成 $[[arg1 // 10 - 1 - arg2//10]]$。所以，$[[arg1]]-[[arg2]]=[[arg1-arg2]]$

$$
\begin{array}{l r}
& \tiny{\color{Salmon}[[arg1//10 - 1]]}\:1[[arg1%10]]\\[-3pt]
&\cancel[[arg1//10]]\cancel[[arg1%10]]\\
-&{\color{Salmon}[[check_zero_at_tens(arg2//10)]]}[[arg2%10]]\\
\hline
& {\color{Salmon}[[check_zero_at_tens(arg1//10 - 1 - arg2//10)]]}[[10 + arg1%10 - arg2%10]]\\
\end{array}
$$",,,
24,11,"<div class=""ex-text"" align=""center"">

What is/are the missing numbers?

[[input_format_arr]]

</div>

**Step 1:** Find the pattern! We can look at the numbers we have and see if there is a pattern we can use to find the missing numbers. In this case, we can see that the numbers are going up by [[diff]] each time, so the pattern is ${\color{#8DB600}[[diff]]}$.

[[steps]]
[[missing_numbers]] The completed sequence is

$$
[[sequence]]
$$","<div class=""ex-text"" align=""center"">

缺失的数字是什么？

[[input_format_arr]]

</div>

**步骤 1:** 找到规律！我们可以查看现有的数字，看看是否有可以用来找出缺失数字的方法。在这种情况下，我们可以看到数字每次增加 [[diff]]，所以规律是 ${\color{#8DB600}[[diff]]}$。

[[steps]]
[[missing_numbers]] 完成的序列是

$$
[[sequence]]
$$",,,
