"question_translation_id","knowledge_point_id","language_code","translated_question_text","question_id"
46794,38,"en","Divide.\n240÷6[[ans]]@",20693
47015,38,"en","Divide.\n135÷9[[ans]]@",20914
49019,44,"en","Add.\n0.25+0.75[[ans]]",22761
49020,44,"en","Add.\n0.5+0.34[[ans]]",22762
49021,44,"en","Add.\n0.26+0.7[[ans]]",22763
49022,44,"en","Add.\n0.59+0.43[[ans]]",22764
49023,44,"en","Add.\n0.7+0.36[[ans]]",22765
49024,44,"en","Add.\n0.7+0.21[[ans]]",22766
49025,44,"en","Add.\n0.08+0.7[[ans]]",22767
49026,44,"en","Add.\n0.75+0.37[[ans]]",22768
49027,44,"en","Add.\n0.5+0.79[[ans]]",22769
49028,44,"en","Add.\n0.79+0.9[[ans]]",22770
49029,44,"en","Add.\n0.54+0.22[[ans]]",22771
49030,44,"en","Add.\n0.25+0.95[[ans]]",22772
49031,44,"en","Add.\n0.24+0.76[[ans]]",22773
49032,44,"en","Add.\n0.72+0.24[[ans]]",22774
49033,44,"en","Add.\n0.59+0.45[[ans]]",22775
49034,44,"en","Add.\n0.9+0.5[[ans]]",22776
49035,44,"en","Add.\n0.75+0.09[[ans]]",22777
49036,44,"en","Add.\n0.86+0.26[[ans]]",22778
49037,44,"en","Add.\n0.5+0.62[[ans]]",22779
49038,44,"en","Add.\n0.25+0.48[[ans]]",22780
49039,44,"en","Add.\n0.82+0.18[[ans]]",22781
49040,44,"en","Add.\n0.8+0.41[[ans]]",22782
49041,44,"en","Add.\n0.7+0.34[[ans]]",22783
49042,44,"en","Add.\n0.84+0.28[[ans]]",22784
49043,44,"en","Add.\n0.53+0.4[[ans]]",22785
49044,44,"en","Add.\n0.65+0.4[[ans]]",22786
49045,44,"en","Add.\n0.5+0.48[[ans]]",22787
49046,44,"en","Add.\n0.34+0.5[[ans]]",22788
49047,44,"en","Add.\n0.25+0.55[[ans]]",22789
49048,44,"en","Add.\n0.75+0.51[[ans]]",22790
49049,44,"en","Add.\n0.6+0.38[[ans]]",22791
49050,44,"en","Add.\n0.55+0.7[[ans]]",22792
49051,44,"en","Add.\n0.67+0.24[[ans]]",22793
49052,44,"en","Add.\n0.97+0.5[[ans]]",22794
49053,44,"en","Add.\n0.67+0.2[[ans]]",22795
49054,44,"en","Add.\n0.8+0.39[[ans]]",22796
49055,44,"en","Add.\n0.75+0.71[[ans]]",22797
49056,44,"en","Add.\n0.21+0.3[[ans]]",22798
49057,44,"en","Add.\n0.68+0.26[[ans]]",22799
49058,44,"en","Add.\n0.11+0.89[[ans]]",22800
49059,44,"en","Add.\n0.47+0.53[[ans]]",22801
49060,44,"en","Add.\n0.6+0.47[[ans]]",22802
49061,44,"en","Add.\n0.9+0.37[[ans]]",22803
49062,44,"en","Add.\n0.81+0.19[[ans]]",22804
49063,44,"en","Add.\n0.75+0.24[[ans]]",22805
49064,44,"en","Add.\n0.68+0.23[[ans]]",22806
49065,44,"en","Add.\n0.25+0.16[[ans]]",22807
49066,44,"en","Add.\n0.8+0.23[[ans]]",22808
49067,44,"en","Add.\n0.51+0.5[[ans]]",22809
49068,44,"en","Add.\n0.61+0.24[[ans]]",22810
49069,44,"en","Add.\n0.71+0.49[[ans]]",22811
49070,44,"en","Add.\n0.25+0.84[[ans]]",22812
49071,44,"en","Add.\n0.7+0.1[[ans]]",22813
49072,44,"en","Add.\n0.65+0.35[[ans]]",22814
49073,44,"en","Add.\n0.5+0.39[[ans]]",22815
49074,44,"en","Add.\n0.25+0.46[[ans]]",22816
