question_translation_id,knowledge_point_id,language_code,translated_question_text,question_id,question_solution
30864,1,en,Fill in the total number in the box.\n$2$ tens + $2$ ones = [[ans]],171,"<div class=""ex-text"" align=""center"">
2 十位 + 2 个位
</div>

让我们看看 **2 十位** 和 **2 个位** 的含义。

-  2 十位 = 20
-  2 个位 = 2
<div class=""ex-text"" align=""center"">
2 十位 + 2 个位 = 20 + 2 = 22
</div>"
30995,2,en,Fill in the total number in the box.\n$7$ tens − $4$ tens = [[ans]],302,"<div class=""ex-text"" align=""center"">
7 十位 - 4 十位
</div>

让我们看看 **7 十位** 和 **4 十位** 的含义。

-  7 十位 = 70
-  4 十位 = 40
<div class=""ex-text"" align=""center"">
7 十位 - 4 十位 = 70 - 40 = 30
</div>"
32358,3,en,Find the sum.\n47+20[[ans]][[ans]],1665,"<div class=""ex-text"" align=""center"">

$47 + 20$
</div>

**第一步：** 先写下数字 $47$，然后在下面写下数字 $20$。确保 $7$ 和 $0$ 对齐。始终从右侧，也就是个位开始加法。
$$

\begin{array}{l r}
& {\color{#21ABCD}十位}\:\:\:{\color{#8DB600}个位}\\
&{\color{#21ABCD}4}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}7}\:\:\:\\
+&{\color{#21ABCD}2}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}0}\:\:\:\\
\hline
\end{array}
$$

**第二步：** 先加个位上的数字。 $7  + 0  =7$ 并将其写在个位上。
$$
\begin{array}{l r}
&4{\color{Salmon}7}\\
+&2{\color{Salmon}0}\\
\hline
&{\color{Salmon}7}\\
\end{array}
$$

**第三步：** 然后加十位上的数字。 4 + 2 = 6。 在十位写下 6。
$$
\begin{array}{l r}
&{\color{Salmon} 4} 7\\
+&{\color{Salmon}2}0\\
\hline
& {\color{Salmon}6}7\\
\end{array}
$$

所以答案是 67。"
32891,4,en,Find the difference.\n37−15[[ans]][[ans]],2196,"<div class=""ex-text"" align=""center"">

$37 - 15$
</div>

**步骤 1：** 首先写下数字 $37$，并在下面写下数字 $15$。确保将 $7$ 和 $5$ 对齐。总是从右侧或从个位开始减法。

$$
\begin{array}{l r}
& {\color{#21ABCD}十位}\:\:\:{\color{#8DB600}个位}\\
&{\color{#21ABCD}3}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}7}\:\:\:\\
-&{\color{#21ABCD}1}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}5}\:\:\:\\
\hline
\end{array}
$$

**步骤 2：** 然后计算个位上的数字：$7 - 5 = 2$。将 $2$ 写在个位上。
$$
\begin{array}{l r}
&3{\color{Salmon}7}\\
-&1{\color{Salmon}5}\\
\hline
&{\color{Salmon}2}\\
\end{array}
$$

**步骤 3：** 接下来，计算十位数字，$3 - 1 = 2$。在十位写下 2。
$$
\begin{array}{l r}
&{\color{Salmon}3}7\\
-&{\color{Salmon}1}5\\
\hline
& {\color{Salmon}2}2\\
\end{array}
$$

所以答案是 $22$。"
33915,5,en,"Fill in the missing numbers.\n4, [[ans]], 14, [[ans]]",3220,"<div class=""ex-text"" align=""center"">

缺失的数字是什么？

$4$, $\underline{\quad}$, $14$, $\underline{\quad}$

</div>

**步骤 1：** 找出规律！我们可以看看现有的数字，看看是否有一个模式可以用来找到缺失的数字。在这种情况下，我们可以看到数字每次增加 5，所以模式是 ${\color{#8DB600}5}$。

**步骤 2:** 我们知道数字每次增加 5，因此 4 后面的数字应该是 9。
**步骤 3:** 现在我们需要找到 14 后面的数字。我们知道每次数字增加 5，因此 14 后面的数字应该是 19。


所以缺失的数字是 9 和 19。 完整的序列是

$$
4, {\color{Salmon}9}, 14, {\color{Salmon}19}
$$"
246324,6,en,"Compare the numbers using >, < or =. $6$ [[ans]] $7$",3389,"<div class=""ex-text"" align=""center"">

$6$ ? $7$

</div>

:::number-line compare 6,7:::

你看到数字 7 在 6 的右边，因此 7 大于 6。
$$
6 {\color{Salmon}\:<\:} 7
$$"
34148,7,en,Fill in the number of tens and ones.\n$41$ = [[ans]]tens + [[ans]]ones,3453,"<div class=""ex-text"" align=""center"">

$41$ $=$ __十位$+$ __个位

</div>

:::3d-cubes 4 + 1 :::

**步骤 1:** “十”部分告诉我们41中有多少个十位。在这种情况下，只有4个十位。
<div align=""center"">

$4$ 十 = $40$
</div>

**步骤 2:** “个位”部分告诉我们41中有多少个个位。在这种情况下，有1个个位。
<div align=""center"">

$1$ 个位 = $1$
</div>

**步骤 3:** 当我们将十位的数量和个位的数量相加时，我们得到原来的数字，即41。

所以，**41 = __十位 + __个位** 只是帮助我们理解数字41是由两个较小的部分构成的，以及这两个部分是如何加起来得到41的。
<div align=""center"">

$41$ $=$ ${\color{Salmon}4}$ 十 $+$ ${\color{Salmon} 1 }$ 个位数
</div>"
34195,9,en,Find the sum.\n4+16[[ans]][[ans]],4097,"<div class=""ex-text"" align=""center"">

$4 + 16$
</div>

**步骤 1：** 让我们按数字的位值进行排序。4 是一位数，我们将 4 放在个位。, 和 16 有个位和十位数字，因此我们根据其个位和十位的数字将其写在正确的列中。.
$$
\begin{array}{l r}
& {\color{#21ABCD}十位}\:\:\:{\color{#8DB600}个位}\\
&{\color{#21ABCD}}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}4}\:\:\:\\
+&{\color{#21ABCD}1}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}6}\:\:\:\\
\hline
\end{array}
$$

**步骤 2：**  先将个位上的数字相加： $4+6$，结果为 10。由于 10 超过了 $9$，需要进行进位。换句话说，$10$ 是一个两位数，因此我们将其重新拆分为十位和个位。这意味着我们将十位数进位到前一列，并把个位数保留在当前列中。在此例中，个位数为$0$ 将其写在个位列，进位 $1$ 到十位列。                                            
$$
\begin{array}{l r}
& \tiny1\:\:\:\:\\[-3pt]
&{\color{Salmon}4}\\
+&1{\color{Salmon}6}\\
\hline
& 0\\
\end{array}
$$

**步骤 3：** 继续将十位数上的数字相加，$1+1$ 的结果是 $2$。因此，这一列的总和将是 $2$。最终，$4+16 = 20$ 的和为：
$$
\begin{array}{l r}
& \tiny{\color{Salmon}1}\:\:\:\:\\[-3pt]
&{\color{Salmon}}4\\
+&{\color{Salmon}1}6\\
\hline
& 20\\
\end{array}
$$"
35523,10,en,Find the difference.\n35−6[[ans]][[ans]],5428,"<div class=""ex-text"" align=""center"">

$35 - 6$
</div>

**步骤 1:** 让我们比较两个数字，$35$ 和 $6$。 35 有个位和十位数字，因此我们根据其个位和十位的数字将其写在正确的列中。, 和 6 是一位数，我们将 6 放在个位。。
$$
\begin{array}{l r}
& {\color{#21ABCD}十位}\:\:\:{\color{#8DB600}个位}\\
&{\color{#21ABCD}3}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}5}\:\:\:\\
-&{\color{#21ABCD}}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}6}\:\:\:\\
\hline
\end{array}
$$

**步骤 2:**  减法总是从个位开始。在这个例子中，我们可以看到 $5$ 小于 $6$。所以，我们将从十位借 $1$，这将使它变成 $15$。现在，$15 - 6 = 9$。
$$
\begin{array}{l r}
& \tiny2\:{\color{Salmon}15}\\[-3pt]
&\cancel3\cancel5\\
-&{\color{Salmon}6}\\
\hline
& {\color{Salmon}9}\\
\end{array}
$$

**步骤 3:** 在 **步骤 2** 中将 $1$ 给了个位后，十位的 $3$ 变成了 $2$。现在，让我们从十位数字中减去 $0$。如果我们从 $2$ 减去 $0$，这将使其变成 $2$。所以，$35-6=29$

$$
\begin{array}{l r}
& \tiny{\color{Salmon}2}\:15\\[-3pt]
&\cancel3\cancel5\\
-&{\color{Salmon}}6\\
\hline
& {\color{Salmon}2}9\\
\end{array}
$$"
36532,11,en,"Fill in the missing numbers.\n[[ans]], 36, 37",6431,"<div class=""ex-text"" align=""center"">

缺失的数字是什么？

$\underline{\quad}$, $36$, $37$

</div>

**步骤 1:** 找到规律！我们可以查看现有的数字，看看是否有可以用来找出缺失数字的方法。在这种情况下，我们可以看到数字每次增加 1，所以规律是 ${\color{#8DB600}1}$。

**步骤2:** 我们知道数字每次减少 1，因此 36 前面的数字应该是 35。
所以缺失的数字是 35 完成的序列是

$$
{\color{Salmon}35}, 36, 37
$$"
